 682 (10,21) U+26EB '⛫'
 683 (11,21) U+26EC '⛬'
 684 (12,21) U+26ED '⛭'
 685 (13,21) U+26EE '⛮'
 686 (14,21) U+26EF '⛯'
 687 (15,21) U+26F0 '⛰'
 688 (16,21) U+26F1 '⛱'
 689 (17,21) U+26F2 '⛲'
 690 (18,21) U+26F3 '⛳'
 691 (19,21) U+26F4 '⛴'
 692 (20,21) U+26F5 '⛵'
 693 (21,21) U+26F6 '⛶'
 694 (22,21) U+26F7 '⛷'
 695 (23,21) U+26F8 '⛸'
 696 (24,21) U+26F9 '⛹'
 697 (25,21) U+26FA '⛺'
 698 (26,21) U+26FB '⛻'
 699 (27,21) U+26FC '⛼'
 700 (28,21) U+26FD '⛽'
 701 (29,21) U+26FE '⛾'
 702 (30,21) U+26FF '⛿'
 703 (31,21) U+2700 '✀'
 704 ( 0,22) U+2701 '✁'
 705 ( 1,22) U+2702 '✂'
 706 ( 2,22) U+2703 '✃'
 707 ( 3,22) U+2704 '✄'
 708 ( 4,22) U+2705 '✅'
 709 ( 5,22) U+2706 '✆'
 710 ( 6,22) U+2707 '✇'
 711 ( 7,22) U+2708 '✈'
 712 ( 8,22) U+2709 '✉'
 713 ( 9,22) U+270A '✊'
 714 (10,22) U+270B '✋'
 715 (11,22) U+270C '✌'
 716 (12,22) U+270D '✍'
 717 (13,22) U+270E '✎'
 718 (14,22) U+270F '✏'
 719 (15,22) U+2710 '✐'
 720 (16,22) U+2711 '✑'
 721 (17,22) U+2712 '✒'
 722 (18,22) U+2713 '✓'
 723 (19,22) U+2714 '✔'
 724 (20,22) U+2715 '✕'
 725 (21,22) U+2716 '✖'
 726 (22,22) U+2717 '✗'
 727 (23,22) U+2718 '✘'
 728 (24,22) U+2719 '✙'
 729 (25,22) U+271A '✚'
